date,product,reviewer_role,company_size,rating_overall,rating_ease_of_use,rating_features,rating_support,rating_value,pros,cons,source
2025-10-06 20:45:03.484799,Asana,Software Engineer,1-50,4.5,4.0,4.5,5.0,4.0,Excellent API documentation. Integration was straightforward. Performance is solid.,Learning curve is steep. Documentation could be more comprehensive. Some bugs in mobile app.,g2
2025-10-03 20:45:03.484827,Asana,Product Manager,51-200,3.0,3.5,3.0,2.0,3.5,Good feature set for the price. Team collaboration tools work well.,Pricing increases significantly at higher tiers. Limited customization options.,g2
2025-09-30 20:45:03.484852,Asana,CTO,201-500,5.0,5.0,5.0,4.5,4.5,Best-in-class reporting. Dashboard is intuitive. Great customer support.,Integration with legacy systems is challenging. API rate limits too restrictive.,g2
2025-09-27 20:45:03.484857,Asana,Team Lead,501-1000,2.0,2.5,2.0,1.5,3.0,Affordable for startups. Basic features sufficient for small teams.,Customer support response time slow. Missing key features competitors have.,g2
2025-09-24 20:45:03.484861,Asana,Developer,1000+,4.0,4.5,4.0,4.0,4.0,Powerful automation capabilities. Scales well with team growth.,User interface feels dated. Performance issues with large datasets.,g2
2025-09-21 20:45:03.484865,Asana,Software Engineer,1-50,3.5,3.0,3.5,3.0,3.5,Excellent API documentation. Integration was straightforward. Performance is solid.,Learning curve is steep. Documentation could be more comprehensive. Some bugs in mobile app.,g2
2025-09-18 20:45:03.484870,Asana,Product Manager,51-200,4.5,4.0,4.5,5.0,4.5,Good feature set for the price. Team collaboration tools work well.,Pricing increases significantly at higher tiers. Limited customization options.,g2
2025-09-15 20:45:03.484874,Asana,CTO,201-500,2.5,3.0,2.5,2.0,3.0,Best-in-class reporting. Dashboard is intuitive. Great customer support.,Integration with legacy systems is challenging. API rate limits too restrictive.,g2
2025-09-12 20:45:03.484883,Asana,Team Lead,501-1000,5.0,5.0,5.0,4.5,4.5,Affordable for startups. Basic features sufficient for small teams.,Customer support response time slow. Missing key features competitors have.,g2
2025-09-09 20:45:03.484887,Asana,Developer,1000+,3.0,3.5,3.0,3.5,4.0,Powerful automation capabilities. Scales well with team growth.,User interface feels dated. Performance issues with large datasets.,g2
2025-09-06 20:45:03.484891,Asana,Software Engineer,1-50,4.5,4.0,4.5,5.0,4.0,Excellent API documentation. Integration was straightforward. Performance is solid.,Learning curve is steep. Documentation could be more comprehensive. Some bugs in mobile app.,g2
2025-09-03 20:45:03.484896,Asana,Product Manager,51-200,3.0,3.5,3.0,2.0,3.5,Good feature set for the price. Team collaboration tools work well.,Pricing increases significantly at higher tiers. Limited customization options.,g2
2025-08-31 20:45:03.484900,Asana,CTO,201-500,5.0,5.0,5.0,4.5,4.5,Best-in-class reporting. Dashboard is intuitive. Great customer support.,Integration with legacy systems is challenging. API rate limits too restrictive.,g2
2025-08-28 20:45:03.484904,Asana,Team Lead,501-1000,2.0,2.5,2.0,1.5,3.0,Affordable for startups. Basic features sufficient for small teams.,Customer support response time slow. Missing key features competitors have.,g2
2025-08-25 20:45:03.484909,Asana,Developer,1000+,4.0,4.5,4.0,4.0,4.0,Powerful automation capabilities. Scales well with team growth.,User interface feels dated. Performance issues with large datasets.,g2
2025-08-22 20:45:03.484916,Asana,Software Engineer,1-50,3.5,3.0,3.5,3.0,3.5,Excellent API documentation. Integration was straightforward. Performance is solid.,Learning curve is steep. Documentation could be more comprehensive. Some bugs in mobile app.,g2
2025-08-19 20:45:03.484921,Asana,Product Manager,51-200,4.5,4.0,4.5,5.0,4.5,Good feature set for the price. Team collaboration tools work well.,Pricing increases significantly at higher tiers. Limited customization options.,g2
2025-08-16 20:45:03.484925,Asana,CTO,201-500,2.5,3.0,2.5,2.0,3.0,Best-in-class reporting. Dashboard is intuitive. Great customer support.,Integration with legacy systems is challenging. API rate limits too restrictive.,g2
2025-08-13 20:45:03.484930,Asana,Team Lead,501-1000,5.0,5.0,5.0,4.5,4.5,Affordable for startups. Basic features sufficient for small teams.,Customer support response time slow. Missing key features competitors have.,g2
2025-08-10 20:45:03.484934,Asana,Developer,1000+,3.0,3.5,3.0,3.5,4.0,Powerful automation capabilities. Scales well with team growth.,User interface feels dated. Performance issues with large datasets.,g2
2025-08-07 20:45:03.484938,Asana,Software Engineer,1-50,4.5,4.0,4.5,5.0,4.0,Excellent API documentation. Integration was straightforward. Performance is solid.,Learning curve is steep. Documentation could be more comprehensive. Some bugs in mobile app.,g2
